視界の中で大きな変化が起きているにもかかわらず注意が向いていないためにその変化に気づかない現象を何というでしょう？,視界の中で大きな変化が起きているにもかかわらず、注意が向いていないためにその変化に気づかない現象を何というでしょう？,変化盲,『変化盲』の意味として適切なものは何でしょう？,視界の大きな変化に気づかない現象,特定の音だけが聞こえなくなる現象,自分の顔を認識できなくなる障害,視野の半分が見えなくなる状態
時代が進むにつれて世界的に知能指数の平均値が上昇し続けている現象を何というでしょう？,時代が進むにつれて、世界的に知能指数の平均値が上昇し続けている現象を何というでしょう？,フリン効果,『フリン効果』の意味として適切なものは何でしょう？,世代ごとに知能指数の平均が上昇する現象,年齢とともに知能が低下する現象,教育レベルが高いほど寿命が延びる現象,都市部の人ほど知能指数が高い傾向
自分が所属する集団に対する否定的なステレオタイプを意識するあまりプレッシャーを感じて実際に能力が低下してしまう現象を何というでしょう？,自分が所属する集団に対する、否定的なステレオタイプを意識するあまり、プレッシャーを感じて、実際に能力が低下してしまう現象を何というでしょう？,ステレオタイプ脅威,『ステレオタイプ脅威』の意味として適切なものは何でしょう？,偏見への意識が能力を低下させる現象,偏見を持つことで相手を見下す心理,ステレオタイプを利用して商品を売る手法,偏見をバネにして努力する心理
不安や緊張などの鬱積した感情を言葉や行動として表出させることで心の浄化が得られる効果を何というでしょう？,不安や緊張などのうっせきした感情を、言葉や行動として表出させることで、心の浄化が得られる効果を何というでしょう？,カタルシス効果,『カタルシス効果』の意味として適切なものは何でしょう？,感情表出による心の浄化作用,薬物による鎮静作用,芸術作品を見て感動すること,論理的な解決でスッキリすること
自分の意見や行動を決める際や自己評価を行う際に比較の基準とする集団のことを何というでしょう？,自分の意見や行動を決める際や自己評価を行う際に、比較の基準とする集団のことを何というでしょう？,準拠集団,『準拠集団』の意味として適切なものは何でしょう？,意思決定や自己評価の基準とする集団,法的な規則に基づいて組織された集団,地理的に近い場所に住む人々の集団,一時的に同じ場所に居合わせた群衆
生理的な反射を引き起こす刺激と中性的な刺激を対提示することで中性的な刺激だけで反応が生じるようになる学習を何というでしょう？,生理的な反射を引き起こす刺激と、中性的な刺激をつい提示することで、中性的な刺激だけで反応が生じるようになる学習を何というでしょう？,レスポンデント条件づけ,『レスポンデント条件づけ』の意味として適切なものは何でしょう？,刺激の対提示により受動的反応を形成する学習,試行錯誤を通じて正解にたどり着く学習,自ら環境に働きかけて結果を得る学習,既存の知識構造に新しい情報を組み込む学習
以前に学習したことが妨げとなって新しい学習内容の記憶や再生が阻害される現象を何というでしょう？,以前に学習したことが妨げとなって、新しい学習内容の記憶や再生が阻害される現象を何というでしょう？,順向干渉,『順向干渉』の意味として適切なものは何でしょう？,古い記憶が新しい記憶の定着を妨げる現象,新しい記憶が古い記憶の想起を妨げる現象,類似した情報が混ざり合って区別できなくなる現象,感情的な動揺が記憶の再生を妨げる現象
お金の入手元や使い道によって主観的なカテゴリー（勘定項目）を分けそれに応じてお金の使い方を変えてしまう心理を何というでしょう？,お金の入手元や使い道によって、主観的なカテゴリーを分け、それに応じてお金の使い方を変えてしまう心理を何というでしょう？,メンタル・アカウンティング,『メンタル・アカウンティング』の意味として適切なものは何でしょう？,心理的な枠組みでお金の価値判断が変わる現象,暗算で素早く計算する能力,家計簿をつけて支出を管理すること,精神的な負担を数値化して評価すること
一連の行動系列を学習させるために個々の行動を鎖のようにつなぎ合わせて訓練する技法を何というでしょう？,一連の行動系列を学習させるために、個々の行動を鎖のようにつなぎ合わせて訓練する技法を何というでしょう？,連鎖化,『連鎖化』の意味として適切なものは何でしょう？,一連の行動をつなぎ合わせて学習させる技法,同時に複数の行動を行う訓練,行動の順序を逆から教える技法,不要な行動を一つずつ取り除く技法
発達において学習や経験よりも神経系や身体の成熟が重要であり準備が整って初めて学習が可能になるという説を何というでしょう？,発達において、学習や経験よりも、神経系や身体の成熟が重要であり、準備が整って初めて学習が可能になるという説を何というでしょう？,成熟優位説,『成熟優位説』の意味として適切なものは何でしょう？,発達には学習より身体的成熟が重要とする説,早期教育が発達を加速させるとする説,環境が遺伝よりも重要であるとする説,性格は生まれつき決まっているとする説
回避不可能なストレスに長期間さらされることで状況を変えようとする意欲が失われる状態を何というでしょう？,回避不可能なストレスに長期間さらされることで、状況を変えようとする意欲が失われる状態を何というでしょう？,学習性無力感,『学習性無力感』の意味として適切なものは何でしょう？,長期間のストレスで抵抗を諦める状態,課題の難易度が高すぎて混乱する状態,学習の成果が一時的に停滞する時期,特定の恐怖対象に対して過剰に反応する状態
自分の成功は能力や努力のおかげと考え失敗は運や状況のせいにする自己防衛的な帰属の歪みを何というでしょう？,自分の成功は能力や努力のおかげと考え、失敗は運や状況のせいにする、自己防衛的な帰属の歪みを何というでしょう？,自己奉仕バイアス,『自己奉仕バイアス』の意味として適切なものは何でしょう？,成功は自分失敗は環境のせいにする偏り,自分よりも他人を優先して行動する傾向,自分の利益のために他人を利用する傾向,他人の成功を自分のことのように喜ぶ傾向
青年期において親への心理的な依存から脱却し精神的な自立を果たそうとする過程を何というでしょう？,青年期において、親への心理的な依存から脱却し、精神的な自立を果たそうとする過程を何というでしょう？,心理的離乳,『心理的離乳』の意味として適切なものは何でしょう？,親から精神的に自立する過程,母乳から固形食へ移行する時期,反抗期が終わって素直になること,恋愛関係を通じて成長すること
文字の色と文字の意味が異なる場合に文字の意味を無視して色を答えるのに時間がかかる現象を何というでしょう？,文字の色と文字の意味が異なる場合に、文字の意味を無視して、色を答えるのに時間がかかる現象を何というでしょう？,ストループ効果,『ストループ効果』の意味として適切なものは何でしょう？,文字の意味と色が干渉し反応が遅れる現象,背景の色によって図形の大きさが違って見える現象,暗い場所では青色が明るく見える現象,直線の周りの角度によって長さが違って見える現象
他者の行動の意図を曖昧な状況下で解釈する際に相手が敵意を持っていると偏って推測してしまう傾向を何というでしょう？,たしゃの行動の意図を曖昧な状況下で解釈する際に、相手が敵意を持っていると偏って推測してしまう傾向を何というでしょう？,敵意帰属バイアス,『敵意帰属バイアス』の意味として適切なものは何でしょう？,相手の行動を悪意あるものと解釈する傾向,自分の失敗を他人のせいにする傾向,攻撃的な行動を正当化する心理,異質な他者を敵とみなして排除する心理
環境が動物に対して提供している「価値」や「行為の可能性」のことで、椅子は「座れる」という性質を持っているといった概念を何というでしょう？,環境が動物に対して提供している、「価値」や「行為の可能性」のことを何というでしょう？,アフォーダンス,『アフォーダンス』の意味として適切なものは何でしょう？,環境が提供する行為の可能性や意味,道具を使いやすくするためのデザイン,人間工学に基づいた椅子の設計,学習によって獲得される技能
自分の行動の結果が自分の努力や能力によるものか運や環境によるものかという原因の所在に対する認識の傾向を何というでしょう？,自分の行動の結果が、自分の努力や能力によるものか、運や環境によるものか、という原因の所在に対する認識の傾向を何というでしょう？,ローカス・オブ・コントロール,『ローカス・オブ・コントロール』の意味として適切なものは何でしょう？,行動結果の原因をどこに求めるかの認識傾向,自分の感情を制御できるかどうかの能力,集団を統率するリーダーシップの強さ,衝動的な欲求を抑える自制心
リスト形式で提示された情報を記憶する際に最初と最後の項目が思い出されやすい現象を何というでしょう？,リスト形式で提示された情報を記憶する際に、最初と最後の項目が思い出されやすい現象を何というでしょう？,系列位置効果,『系列位置効果』の意味として適切なものは何でしょう？,最初と最後の項目が記憶に残りやすい現象,意味的に関連する項目がまとめて想起される現象,感情的に強い印象の項目だけが残る現象,繰り返された回数が多いほど記憶される原理
ストレスなどの環境変化に対して身体の設定値を変動させることで安定性を維持しようとする動的な適応プロセスを何というでしょう？,ストレスなどの環境変化に対して、身体の設定ちを変動させることで、安定性を維持しようとする、動的な適応プロセスを何というでしょう？,アロスタシス,『アロスタシス』の意味として適切なものは何でしょう？,変化を通じて安定を維持する動的適応,内部環境を一定に保つ恒常性維持,ストレスに対する緊急反応,免疫機能による防御システム
子供と母親を未知の部屋に入れ分離と再会に場面を設定することで子供のアタッチメント（愛着）のタイプを判定する実験法を何というでしょう？,子供と母親を未知の部屋に入れ、分離と再会に場面を設定することで、子供の愛着のタイプを判定する実験法を何というでしょう？,ストレンジ・シチュエーション法,『ストレンジ・シチュエーション法』の意味として適切なものは何でしょう？,母子分離場面での愛着タイプ判定法,子供の知能を測定する観察法,見知らぬ人への人見知りを治す訓練,集団遊びの中での協調性を測るテスト
信憑性の低い情報源からのメッセージであっても時間が経過すると情報源の記憶が薄れて内容だけが受け入れられる現象を何というでしょう？,信憑性の低い情報げんからのメッセージであっても、時間が経過すると情報げんの記憶が薄れて、内容だけが受け入れられる現象を何というでしょう？,スリーパー効果,『スリーパー効果』の意味として適切なものは何でしょう？,時間の経過で信憑性の低い情報が説得力を持つ現象,睡眠学習によって記憶が定着する効果,無意識のメッセージが行動に影響を与える現象,繰り返しの説得が逆効果になる現象
「帰りに牛乳を買う」のように将来行うべき行動や予定に関する記憶を何というでしょう？,「帰りに牛乳を買う」、のように、将来行うべき行動や予定に関する記憶を何というでしょう？,展望的記憶,『展望的記憶』の意味として適切なものは何でしょう？,将来の行動や予定に関する記憶,過去の出来事を回想する記憶,現在直面している課題に必要な情報の記憶,無意識のうちに保存されている潜在的な記憶
最初に提示された数値や情報が基準点となりその後の判断や評価に影響を与える現象を何というでしょう？,最初に提示された数値や情報が基準点となり、その後の判断や評価に影響を与える現象を何というでしょう？,アンカリング効果,『アンカリング効果』の意味として適切なものは何でしょう？,最初の数値が基準となり判断を歪める効果,アンケートの回答が質問順序に影響される効果,権威ある人の意見に判断が左右される効果,過去の成功体験に固執して判断する効果
物事の捉え方や考え方（認知）の歪みに働きかけて気分や行動を改善しようとする心理療法を何というでしょう？,物事の捉えかたや考え方の歪みに働きかけて、気分や行動を改善しようとする心理療法を何というでしょう？,認知行動療法,『認知行動療法』の意味として適切なものは何でしょう？,認知の歪みを修正し行動を変える療法,無意識の葛藤を解き明かす療法,過去のトラウマを再体験して解消する療法,家族全員を集めて関係性を調整する療法
望ましい行動ができたときに報酬としてトークン（引換券）を与えそれを集めると好きな物や権利と交換できる技法を何というでしょう？,望ましい行動ができたときに、報酬として引換券を与え、それを集めると好きな物や権利と交換できる技法を何というでしょう？,トークン・エコノミー法,『トークン・エコノミー法』の意味として適切なものは何でしょう？,報酬としての引換券で行動を強化する技法,経済的なインセンティブで勤労意欲を高める技法,集団内での役割交換を行う技法,罰金制度を用いて違反行動を減らす技法
自分がどの社会集団に所属しているかという自覚が自己評価や感情に影響を与えるとする概念を何というでしょう？,自分がどの社会集団に所属しているかという自覚が自己評価や感情に影響を与えるとする概念を何というでしょう？,社会的アイデンティティ,『社会的アイデンティティ』の意味として適切なものは何でしょう？,所属集団への帰属意識に基づく自己概念,他者からどう見られているかという客観的自己,個人的な能力や身体的特徴に基づく自己,過去の記憶によって形成される自己の連続性
自分も相手も大切にしながら自分の気持ちや意見を率直かつ適切に表現するコミュニケーション技法を何というでしょう？,自分も相手も大切にしながら、自分の気持ちや意見を、率直かつ適切に表現するコミュニケーション技法を何というでしょう？,アサーション,『アサーション』の意味として適切なものは何でしょう？,自他を尊重した自己表現技法,相手を論破するための説得技法,相手の言いなりになる受動的な態度,自分の要求を一方的に押し通す態度
他者が自分のことをどのように見ているかという他者の反応を通して認識される自己像のことを何というでしょう？,たしゃが自分のことをどのように見ているか、というたしゃの反応を通して認識される自己像のことを何というでしょう？,鏡映的自己,『鏡映的自己』の意味として適切なものは何でしょう？,他者の目に映る姿を通して知る自己像,鏡を見ることで自己認識を高めること,理想の自分を鏡に映すように演じること,双子のように自分と似た他者のこと
感情体験と身体反応は視床下部からの指令によって同時に別々に生じるとする説を何というでしょう？,感情体験と身体反応は、視床下部からの指令によって同時に別々に生じるとする説を何というでしょう？,キャノン・バード説,『キャノン・バード説』の意味として適切なものは何でしょう？,感情と身体反応は中枢から同時に生じるとする説,身体反応の認知が感情を決定するとする説,環境要因が感情の種類を決定するとする説,無意識の願望が感情となって表れるとする説
雲の形が顔に見えたり壁のしみが動物に見えたりするなど無意味な対象から意味のあるパターンを見出してしまう知覚現象を何というでしょう？,雲の形が顔に見えたり、壁のしみが動物に見えたりするなど、無意味な対象から、意味のあるパターンを見出してしまう知覚現象を何というでしょう？,パレイドリア,『パレイドリア』の意味として適切なものは何でしょう？,無意味な対象に意味ある形を見る現象,存在しないはずの音が聞こえる現象,実際よりも物が大きく見える現象,静止画が動いて見える現象
多くの人が所有しているものに対して希少価値を感じなくなり購買意欲が低下する現象を何というでしょう？,多くの人が所有しているものに対して、希少価値を感じなくなり、購買意欲が低下する現象を何というでしょう？,スノッブ効果,『スノッブ効果』の意味として適切なものは何でしょう？,人と同じものを嫌い差別化を求める現象,流行に乗遅れないように追随する現象,高価なものを人に見せびらかす現象,機能性よりもデザインを重視する現象
十分な実績や能力があるにもかかわらず自分を過小評価し「自分は詐欺師でいつか化けの皮が剥がれる」と恐れる心理状態を何というでしょう？,十分な実績や能力があるにもかかわらず自分を過小評価し「自分は詐欺師でいつか化けの皮が剥がれる」と恐れる心理状態を何というでしょう？,インポスター症候群,『インポスター症候群』の意味として適切なものは何でしょう？,成功を自分の実力と思えない心理,自分が特別な存在だと信じ込む心理,被害妄想に囚われる心理,注目されたくて病気のふりをする心理
生理的な欠乏状態（空腹など）が生じると不快な緊張（動因）が発生しそれを低減させるために行動が起こるという動機づけ理論を何というでしょう？,生理的な欠乏状態が生じると、不快な緊張が発生し、それを低減させるために行動が起こるという動機づけ理論を何というでしょう？,動因低減説,『動因低減説』の意味として適切なものは何でしょう？,不快な欠乏の解消を行動原理とする説,報酬を期待して行動するとする説,最適な覚醒レベルを求めて行動するとする説,欠乏を満たすだけでなく可能性を最大限に発揮しようとする説
物理的な環境条件よりも周囲からの注目や人間関係への意識が作業効率に影響を与える現象を何というでしょう？,物理的な環境条件よりも、周囲からの注目や人間関係への意識が、作業効率に影響を与える現象を何というでしょう？,ホーソン効果,『ホーソン効果』の意味として適切なものは何でしょう？,注目されることで意欲が高まり成果が出る現象,作業環境の悪化が生産性を低下させる現象,個人の能力が集団全体の成果を決める現象,報酬の有無が内発的動機づけを変える効果
他者の適切な行動を観察しそれを模倣することによって新しい行動を獲得したり不適切な行動を修正したりする療法を何というでしょう？,たしゃの適切な行動を観察し、それを模倣することによって、新しい行動を獲得したり、不適切な行動を修正したりする療法を何というでしょう？,モデリング療法,『モデリング療法』の意味として適切なものは何でしょう？,他者の行動観察を通じて学習させる療法,鏡を見ながら自己イメージを修正する療法,粘土などを使って内面を表現する療法,理想の自分を演じることで性格を変える療法
心に浮かんだことを批判や選別をせずにありのままに話してもらうことで無意識を探る精神分析の手法を何というでしょう？,心に浮かんだことを批判や選別をせずにありのままに話してもらうことで、無意識を探る精神分析の手法を何というでしょう？,自由連想法,『自由連想法』の意味として適切なものは何でしょう？,心に浮かぶことを無批判に話す分析法,夢の内容を詳細に分析する方法,催眠状態で過去の記憶を呼び起こす方法,箱庭を作って内面を表現する方法
人物が描かれた絵を見て過去・現在・未来の物語を作らせることでその人の欲求や対人関係を分析する検査を何というでしょう？,人物が描かれた絵を見て、過去・現在・未来の物語を作らせることで、その人の欲求や対人関係を分析する検査を何というでしょう？,主題統覚検査,『主題統覚検査』の意味として適切なものは何でしょう？,絵から物語を作らせて内面を分析する検査,単純な図形を描写させて脳機能を調べる検査,木を描かせて性格を診断する検査,質問項目に「はい・いいえ」で答える検査
乳幼児が未知の対象や状況に遭遇した際に親などの信頼できる他者の表情や反応を見て自分の行動を決定することを何というでしょう？,乳幼児が、未知の対象や状況に遭遇した際に、親などの信頼できるたしゃの表情や反応を見て、自分の行動を決定することを何というでしょう？,社会的参照,『社会的参照』の意味として適切なものは何でしょう？,他者の反応を見て自分の行動を決めること,社会のルールに従って行動すること,友達の真似をして遊ぶこと,鏡に映った自分を認識すること
好条件を提示して承諾を得た後に後から条件を変更したり諸経費を追加したりして当初よりも悪い条件で合意させる技法を何というでしょう？,こう条件を提示して、承諾を得た後から条件を変更したり、諸経費を追加したりして、当初よりも悪い条件で合意させる技法を何というでしょう？,ローボール法,『ローボール法』の意味として適切なものは何でしょう？,承諾後に条件を悪くして合意させる技法,相手の期待値を下げてから成果を出す技法,低い目標を設定して確実に達成させる技法,相手の弱みを握って要求を飲ませる技法
ある言葉や情報を新しく知った直後から急にその言葉や情報を頻繁に見聞きするようになる現象を何というでしょう？,ある言葉や情報を新しく知った直後から、急にその言葉や情報を頻繁に見聞きするようになる現象を何というでしょう？,バーダー・マインホフ現象,『バーダー・マインホフ現象』の意味として適切なものは何でしょう？,知ったばかりの情報が目につくようになる現象,噂話をしていたらその本人が現れる現象,デジャヴを感じることが多くなる現象,名前が出てこないのにもどかしい現象
乳幼児期において、特定の養育者との継続的な接触が限られた環境で育つことによって、心身への影響が生じることを何というでしょう？,乳幼児期において、特定の養育者との継続的な接触が限られた環境で育つことによって、心身への影響が生じることを何というでしょう？,ホスピタリズム,『ホスピタリズム』の意味として適切なものは何でしょう？,愛情遮断による心身の発達遅滞,入院患者への手厚い看護サービス,来客を温かくもてなす精神,病院に対する恐怖症
ストレスを感じている人に対して周囲の人が提供する情緒的・物質的・情報的な援助のことを何というでしょう？,ストレスを感じている人に対して、周囲の人が提供する、情緒的・物質的・情報的な援助のことを何というでしょう？,ソーシャルサポート,『ソーシャルサポート』の意味として適切なものは何でしょう？,周囲からの情緒的・物質的な援助,国による公的な生活保護制度,専門家による心理カウンセリング,SNSでの「いいね」による承認
他人の行動は性格のせいに、自分の行動は状況のせいにするという認識のひずみを何というでしょう？,他人の行動は性格のせいに、自分の行動は状況のせいにするという認識のひずみを何というでしょう？,行為者-観察者バイアス,『行為者-観察者バイアス』の意味として適切なものは何でしょう？,他人は性格自分は状況に原因を求める偏り,成功は自分のおかげ失敗は他人のせいにする偏り,自分に甘く他人に厳しい評価を下す偏り,観察されていると行動が変わってしまう偏り
自殺の危険が高い場合や大災害の後など心理的な危機状態にある人に対して行われる短期集中的な介入や援助を何というでしょう？,自殺の危険が高い場合や大災害の後など、心理的な危機状態にある人に対して行われる、短期集中的な介入や援助を何というでしょう？,クライシス・インターベンション,『クライシス・インターベンション』の意味として適切なものは何でしょう？,危機状態への短期集中的な心理介入,慢性的な精神疾患への長期治療,日常生活の質を向上させる指導,犯罪を未然に防ぐための教育
ある対象が特定のカテゴリーの典型的なイメージとどれくらい似ているかによって確率や分類を判断する傾向を何というでしょう？,ある対象が、特定のカテゴリーの典型的なイメージとどれくらい似ているかによって、確率や分類を判断する傾向を何というでしょう？,代表性ヒューリスティック,『代表性ヒューリスティック』の意味として適切なものは何でしょう？,典型的なイメージとの類似度で判断する傾向,利用可能な情報の多さで判断する傾向,専門家の意見を無批判に信じる傾向,多数派の意見に従って判断する傾向
物体の本来の用途や機能にとらわれてしまい別の使い道を思いつくのが難しくなる現象を何というでしょう？,物体の本来の用途や機能にとらわれてしまい、別の使い道を思いつくのが難しくなる現象を何というでしょう？,機能的固着,『機能的固着』の意味として適切なものは何でしょう？,本来の用途にとらわれ柔軟な発想が妨げられる現象,特定のブランドにこだわり他を使わない傾向,同じ手順の作業しかできなくなる状態,新しい技術の導入を拒む心理
