自分の信念や行動の間に矛盾があるときに生じる、不快な緊張状態を何というでしょう？,じぶんのしんねんや こうどうのあいだにむじゅんがあるときにしょうじる ふかいなきんちょうじょうたいを なんというでしょう？,認知的不協和,『認知的不協和』の意味として適切なものは何でしょう？,自分の信念や行動の間に矛盾があるときに生じる、不快な緊張状態,他者の期待によって学習や作業の成果が向上する現象,特定の集団や人物に対して抱く、固定化されたイメージ,自分の能力を肯定し、目標を達成できると信じる感覚
他者からの期待を受けることで、その期待通りに学習や作業の成果が向上する現象を何というでしょう？,たしゃからのきたいをうけることで そのきたいどおりにがくしゅうやさぎょうのせいかがこうじょうするげんしょうを なんというでしょう？,ピグマリオン効果,『ピグマリオン効果』の意味として適切なものは何でしょう？,他者からの期待を受けることで、その期待通りに学習や作業の成果が向上する現象,周囲の期待が低いと、パフォーマンスが低下してしまう現象,ある対象に繰り返し接することで、好意度が高まる現象,多数派の意見や流行に同調してしまう心理現象
ある対象の目立ちやすい特徴に引きずられて、他の特徴の評価まで歪められてしまう現象を何というでしょう？,あるたいしょうのめだちやすいとくちょうにひきずられて ほかのとくちょうのひょうかまでゆがめられてしまうげんしょうを なんというでしょう？,ハロー効果,『ハロー効果』の意味として適切なものは何でしょう？,ある対象の目立ちやすい特徴に引きずられて、他の特徴の評価まで歪められてしまう現象,自分の成功は能力によるもの、失敗は環境のせいだと考える傾向,最初に提示された情報が判断の基準となり、後の判断に影響を与える現象,自分の信念と一致する情報ばかりを集め、反証情報を無視する傾向
本来は中性的な刺激が、無条件刺激と繰り返し対提示されることで、条件反応を引き起こすようになる学習過程を何というでしょう？,ほんらいはちゅうせいてきなしげきが むじょうけんしげきとくりかえしついていじされることで じょうけんはんのうをひきおこすようになるがくしゅうかていを なんというでしょう？,古典的条件づけ,『古典的条件づけ』の意味として適切なものは何でしょう？,中性的な刺激が無条件刺激と対提示されることで、条件反応を引き起こすようになる学習過程,自発的な行動と、その結果との結びつきによる学習過程,他者の行動を観察し、それを模倣することで成立する学習,試行錯誤を繰り返す中で、偶然の成功によって問題解決に至る学習
自発的な行動の直後に報酬や罰を与えることで、その行動の頻度を変化させる学習過程を何というでしょう？,じはつてきなこうどうのちょくごに ほうしゅうやばつをあたえることで そのこうどうのひんどをへんかさせるがくしゅうかていを なんというでしょう？,オペラント条件づけ,『オペラント条件づけ』の意味として適切なものは何でしょう？,自発的な行動の直後に報酬や罰を与えることで、その行動の頻度を変化させる学習過程,中性的な刺激が無条件刺激と対提示されることで、条件反応を引き起こすようになる学習過程,洞察によって問題の解決策が突然ひらめく学習過程,一度学習した行動が、無力感によって行われなくなる現象
自分にとって都合の悪い情報を無視し、自分の先入観や仮説を支持する情報ばかりを集める傾向を何というでしょう？,じぶんにとってつごうのわるいじょうほうをむしし じぶんのせんにゅうかんやかせつをしじするじょうほうばかりをあつめるけいこうを なんというでしょう？,確証バイアス,『確証バイアス』の意味として適切なものは何でしょう？,自分にとって都合の悪い情報を無視し、先入観や仮説を支持する情報ばかりを集める傾向,他者の行動の原因を、その人の性格や能力などの内的要因に求める傾向,集団で決定を行う際、より極端な結論に至りやすくなる傾向,自分の成功は内的要因、失敗は外的要因に帰属させる傾向
受け入れがたい衝動や感情を、正反対の行動や態度で表現する防衛機制を何というでしょう？,うけいれがたいしょうどうやかんじょうを せいはんたいのこうどうやたいどでひょうげんするぼうえいきせいを なんというでしょう？,反動形成,『反動形成』の意味として適切なものは何でしょう？,受け入れがたい衝動や感情を、正反対の行動や態度で表現する防衛機制,認めがたい自分の欲求や感情を、他者が持っているものと思い込む防衛機制,もっともらしい理屈をつけて、自分の失敗や行動を正当化する防衛機制,現在の発達段階より前の、未熟な段階の行動に戻る防衛機制
自分の認めたくない感情や欲求を、他人が持っているものだと思い込む防衛機制を何というでしょう？,じぶんのみとめたくないかんじょうやよっきゅうを たにんがもっているものだとおもいこむぼうえいきせいを なんというでしょう？,投影,『投影』の意味として適切なものは何でしょう？,自分の認めたくない感情や欲求を、他人が持っているものだと思い込む防衛機制,社会的に容認されない欲求を、学問や芸術など価値ある活動に置き換える防衛機制,苦痛な感情や記憶を、意識から無意識へと押し込める防衛機制,欲求不満の対象とは別の、より安全な対象に感情をぶつける防衛機制
社会的に容認されない欲求や衝動を、芸術やスポーツなど社会的に価値のある活動に置き換えて発散することを何というでしょう？,しゃかいてきにようにんされないよっきゅうやしょうどうを げいじゅつやスポーツなど しゃかいてきにかちのあるかつどうにおきかえてはっさんすることを なんというでしょう？,昇華,『昇華』の意味として適切なものは何でしょう？,社会的に容認されない欲求や衝動を、社会的に価値のある活動に置き換えて発散すること,もっともらしい理由をつけて、自分の行動や失敗を正当化すること,不快な現実から目を背け、空想の世界に逃げ込むこと,対立する感情や欲求を切り離し、別々のものとして扱うこと
自分に必要な目標を達成できる能力を持っているという、自分に対する信頼感や有能感を何というでしょう？,じぶんにひつようなもくひょうを たっせいできるのうりょくをもっているという じぶんにたいするしんらいかんやゆうのうかんを なんというでしょう？,自己効力感,『自己効力感』の意味として適切なものは何でしょう？,自分に必要な目標を達成できる能力を持っているという、自分に対する信頼感や有能感,ありのままの自分を尊重し、価値ある存在だと感じる感覚,自分が社会や集団の中でどのような役割を果たすべきかという自覚,自分の感情や思考を客観的に観察し、認識する能力
